activity_id,assay_chembl_id,target_chembl_id,molecule_chembl_id,standard_type,standard_value,standard_units,standard_relation,pchembl_value,extraction_date
67809,CHEMBL675636,CHEMBL203,CHEMBL77030,Ki,850.0,nM,=,6.07,2026-03-21 13:33:18.447979
67822,CHEMBL674643,CHEMBL203,CHEMBL78150,IC50,460000.0,nM,=,,2026-03-21 13:33:18.447979
67823,CHEMBL675636,CHEMBL203,CHEMBL78150,Ki,155000.0,nM,=,,2026-03-21 13:33:18.447979
68467,CHEMBL674637,CHEMBL203,CHEMBL69106,IC50,20000.0,nM,>,,2026-03-21 13:33:18.447979
68470,CHEMBL674637,CHEMBL203,CHEMBL264382,IC50,1.1,nM,=,8.96,2026-03-21 13:33:18.447979
68473,CHEMBL621151,CHEMBL203,CHEMBL264382,IC50,200.0,nM,=,6.70,2026-03-21 13:33:18.447979
68475,CHEMBL615325,CHEMBL203,CHEMBL264382,IC50,1950.0,nM,=,5.71,2026-03-21 13:33:18.447979
69112,CHEMBL674643,CHEMBL203,CHEMBL308133,IC50,1500000.0,nM,=,,2026-03-21 13:33:18.447979
69113,CHEMBL675641,CHEMBL203,CHEMBL308133,Ki,,nM,,,2026-03-21 13:33:18.447979
69116,CHEMBL674643,CHEMBL203,CHEMBL307179,IC50,160000.0,nM,=,,2026-03-21 13:33:18.447979
69117,CHEMBL675636,CHEMBL203,CHEMBL307179,Ki,55000.0,nM,=,4.26,2026-03-21 13:33:18.447979
69854,CHEMBL674637,CHEMBL203,CHEMBL305782,IC50,180.0,nM,=,6.75,2026-03-21 13:33:18.447979
69857,CHEMBL674637,CHEMBL203,CHEMBL308672,IC50,450.0,nM,=,6.35,2026-03-21 13:33:18.447979
69860,CHEMBL621151,CHEMBL203,CHEMBL308672,IC50,500.0,nM,=,6.30,2026-03-21 13:33:18.447979
69862,CHEMBL615490,CHEMBL203,CHEMBL308672,IC50,,nM,,,2026-03-21 13:33:18.447979
70342,CHEMBL677833,CHEMBL203,CHEMBL133023,IC50,24.0,nM,=,7.62,2026-03-21 13:33:18.447979
70559,CHEMBL674643,CHEMBL203,CHEMBL310400,IC50,375000.0,nM,=,,2026-03-21 13:33:18.447979
70560,CHEMBL675636,CHEMBL203,CHEMBL310400,Ki,123000.0,nM,=,,2026-03-21 13:33:18.447979
71575,CHEMBL677833,CHEMBL203,CHEMBL136674,IC50,71.0,nM,=,7.15,2026-03-21 13:33:18.447979
71725,CHEMBL674643,CHEMBL203,CHEMBL73820,IC50,25000.0,nM,=,4.60,2026-03-21 13:33:18.447979
71726,CHEMBL675636,CHEMBL203,CHEMBL73820,Ki,70000.0,nM,=,4.16,2026-03-21 13:33:18.447979
71727,CHEMBL674643,CHEMBL203,CHEMBL79064,IC50,230000.0,nM,=,,2026-03-21 13:33:18.447979
71728,CHEMBL674643,CHEMBL203,CHEMBL77803,IC50,500.0,nM,=,6.30,2026-03-21 13:33:18.447979
71729,CHEMBL674643,CHEMBL203,CHEMBL75718,IC50,2400000.0,nM,=,,2026-03-21 13:33:18.447979
71733,CHEMBL674643,CHEMBL203,CHEMBL77298,IC50,153000.0,nM,=,,2026-03-21 13:33:18.447979
71734,CHEMBL675636,CHEMBL203,CHEMBL77298,Ki,50000.0,nM,=,4.30,2026-03-21 13:33:18.447979
78012,CHEMBL679949,CHEMBL203,CHEMBL432941,IC50,8880.0,nM,=,5.05,2026-03-21 13:33:18.447979
79181,CHEMBL679949,CHEMBL203,CHEMBL420609,IC50,100000.0,nM,>,,2026-03-21 13:33:18.447979
80323,CHEMBL679949,CHEMBL203,CHEMBL419682,IC50,100000.0,nM,>,,2026-03-21 13:33:18.447979
81208,CHEMBL674698,CHEMBL203,CHEMBL322395,IC50,3000.0,nM,=,5.52,2026-03-21 13:33:18.447979
83552,CHEMBL679949,CHEMBL203,CHEMBL88462,IC50,100000.0,nM,>,,2026-03-21 13:33:18.447979
84549,CHEMBL679949,CHEMBL203,CHEMBL431996,IC50,56500.0,nM,=,4.25,2026-03-21 13:33:18.447979
85635,CHEMBL679949,CHEMBL203,CHEMBL91250,IC50,100000.0,nM,>,,2026-03-21 13:33:18.447979
85644,CHEMBL679949,CHEMBL203,CHEMBL88771,IC50,100000.0,nM,>,,2026-03-21 13:33:18.447979
87623,CHEMBL679949,CHEMBL203,CHEMBL91815,IC50,100000.0,nM,>,,2026-03-21 13:33:18.447979
88634,CHEMBL679949,CHEMBL203,CHEMBL328029,IC50,100000.0,nM,>,,2026-03-21 13:33:18.447979
88643,CHEMBL679949,CHEMBL203,CHEMBL314995,IC50,100000.0,nM,>,,2026-03-21 13:33:18.447979
91573,CHEMBL679949,CHEMBL203,CHEMBL88483,IC50,100000.0,nM,>,,2026-03-21 13:33:18.447979
91582,CHEMBL679949,CHEMBL203,CHEMBL313746,IC50,100000.0,nM,>,,2026-03-21 13:33:18.447979
91591,CHEMBL679949,CHEMBL203,CHEMBL89363,IC50,100000.0,nM,>,,2026-03-21 13:33:18.447979
92603,CHEMBL679949,CHEMBL203,CHEMBL276711,IC50,100000.0,nM,>,,2026-03-21 13:33:18.447979
96622,CHEMBL679949,CHEMBL203,CHEMBL313500,IC50,100000.0,nM,>,,2026-03-21 13:33:18.447979
98658,CHEMBL679949,CHEMBL203,CHEMBL89010,IC50,100000.0,nM,>,,2026-03-21 13:33:18.447979
98667,CHEMBL679949,CHEMBL203,CHEMBL86531,IC50,29100.0,nM,=,4.54,2026-03-21 13:33:18.447979
99530,CHEMBL679949,CHEMBL203,CHEMBL315753,IC50,100000.0,nM,>,,2026-03-21 13:33:18.447979
104507,CHEMBL679949,CHEMBL203,CHEMBL88606,IC50,100000.0,nM,>,,2026-03-21 13:33:18.447979
104516,CHEMBL679949,CHEMBL203,CHEMBL313821,IC50,100000.0,nM,>,,2026-03-21 13:33:18.447979
105574,CHEMBL679549,CHEMBL203,CHEMBL266969,IC50,50000.0,nM,>,,2026-03-21 13:33:18.447979
105738,CHEMBL673925,CHEMBL203,CHEMBL138691,IC50,4.2,nM,=,8.38,2026-03-21 13:33:18.447979
105739,CHEMBL677216,CHEMBL203,CHEMBL138691,IC50,2282.0,nM,=,5.64,2026-03-21 13:33:18.447979
105740,CHEMBL623728,CHEMBL203,CHEMBL138691,Inhibition,80.0,%,=,,2026-03-21 13:33:18.447979
106110,CHEMBL680020,CHEMBL203,CHEMBL51283,IC50,,nM,,,2026-03-21 13:33:18.447979
106119,CHEMBL679947,CHEMBL203,CHEMBL52829,IC50,4.0,nM,=,8.40,2026-03-21 13:33:18.447979
106120,CHEMBL679947,CHEMBL203,CHEMBL52823,IC50,380.0,nM,=,6.42,2026-03-21 13:33:18.447979
106688,CHEMBL679549,CHEMBL203,CHEMBL8000,IC50,100000.0,nM,>,,2026-03-21 13:33:18.447979
106691,CHEMBL621149,CHEMBL203,CHEMBL8000,IC50,50000.0,nM,>,,2026-03-21 13:33:18.447979
106877,CHEMBL673925,CHEMBL203,CHEMBL139307,IC50,3.3,nM,=,8.48,2026-03-21 13:33:18.447979
106878,CHEMBL677216,CHEMBL203,CHEMBL139307,IC50,194.0,nM,=,6.71,2026-03-21 13:33:18.447979
106879,CHEMBL623728,CHEMBL203,CHEMBL139307,Inhibition,20.0,%,<,,2026-03-21 13:33:18.447979
107294,CHEMBL680020,CHEMBL203,CHEMBL111913,IC50,,nM,,,2026-03-21 13:33:18.447979
107298,CHEMBL680019,CHEMBL203,CHEMBL322298,IC50,200.0,nM,=,6.70,2026-03-21 13:33:18.447979
107302,CHEMBL680019,CHEMBL203,CHEMBL111434,IC50,670.0,nM,=,6.17,2026-03-21 13:33:18.447979
107306,CHEMBL680019,CHEMBL203,CHEMBL111197,IC50,30.0,nM,=,7.52,2026-03-21 13:33:18.447979
107803,CHEMBL677391,CHEMBL203,CHEMBL291667,IC50,100000.0,nM,>,,2026-03-21 13:33:18.447979
107904,CHEMBL679549,CHEMBL203,CHEMBL8091,IC50,100000.0,nM,>,,2026-03-21 13:33:18.447979
107990,CHEMBL673925,CHEMBL203,CHEMBL136058,IC50,0.81,nM,=,9.09,2026-03-21 13:33:18.447979
107991,CHEMBL677216,CHEMBL203,CHEMBL136058,IC50,8.8,nM,=,8.06,2026-03-21 13:33:18.447979
107992,CHEMBL623728,CHEMBL203,CHEMBL136058,Inhibition,80.0,%,>,,2026-03-21 13:33:18.447979
