activity_id,assay_chembl_id,target_chembl_id,molecule_chembl_id,standard_type,standard_value,standard_units,standard_relation,pchembl_value,extraction_date,ic50_nM,log_ic50_nM
34051,CHEMBL674643,CHEMBL203,CHEMBL1009,IC50,900000.0,nM,=,,2026-03-21 13:33:18.447979,900000.0,5.954242509439325
34669,CHEMBL674637,CHEMBL203,CHEMBL304271,IC50,0.45,nM,=,9.35,2026-03-21 13:33:18.447979,0.45,-0.3467874862246563
35294,CHEMBL674643,CHEMBL203,CHEMBL296407,IC50,10000.0,nM,=,5.0,2026-03-21 13:33:18.447979,10000.0,4.0
35296,CHEMBL674643,CHEMBL203,CHEMBL309625,IC50,60000.0,nM,=,4.22,2026-03-21 13:33:18.447979,60000.0,4.778151250383644
35297,CHEMBL674643,CHEMBL203,CHEMBL77825,IC50,600000.0,nM,=,,2026-03-21 13:33:18.447979,600000.0,5.778151250383644
35301,CHEMBL674643,CHEMBL203,CHEMBL421877,IC50,850000.0,nM,=,,2026-03-21 13:33:18.447979,850000.0,5.929418925714293
36518,CHEMBL674643,CHEMBL203,CHEMBL310798,IC50,3000.0,nM,=,5.52,2026-03-21 13:33:18.447979,3000.0,3.4771212547196626
37510,CHEMBL677833,CHEMBL203,CHEMBL135592,IC50,8000.0,nM,=,5.1,2026-03-21 13:33:18.447979,8000.0,3.9030899869919438
40025,CHEMBL674643,CHEMBL203,CHEMBL309866,IC50,1300000.0,nM,=,,2026-03-21 13:33:18.447979,1300000.0,6.113943352306837
40026,CHEMBL674643,CHEMBL203,CHEMBL77381,IC50,1360000.0,nM,=,,2026-03-21 13:33:18.447979,1360000.0,6.133538908370218
41220,CHEMBL674643,CHEMBL203,CHEMBL76602,IC50,165000.0,nM,=,,2026-03-21 13:33:18.447979,165000.0,5.217483944213907
41222,CHEMBL674643,CHEMBL203,CHEMBL77737,IC50,250000.0,nM,=,,2026-03-21 13:33:18.447979,250000.0,5.3979400086720375
41224,CHEMBL674643,CHEMBL203,CHEMBL76983,IC50,1250000.0,nM,>,,2026-03-21 13:33:18.447979,1250000.0,6.096910013008056
41226,CHEMBL674643,CHEMBL203,CHEMBL308134,IC50,125000.0,nM,=,,2026-03-21 13:33:18.447979,125000.0,5.096910013008056
42300,CHEMBL677833,CHEMBL203,CHEMBL136491,IC50,14.0,nM,=,7.85,2026-03-21 13:33:18.447979,14.0,1.146128035678238
42432,CHEMBL674643,CHEMBL203,CHEMBL77280,IC50,1250000.0,nM,>,,2026-03-21 13:33:18.447979,1250000.0,6.096910013008056
43662,CHEMBL674643,CHEMBL203,CHEMBL76557,IC50,625000.0,nM,=,,2026-03-21 13:33:18.447979,625000.0,5.795880017344075
44685,CHEMBL677833,CHEMBL203,CHEMBL336113,IC50,1000.0,nM,=,6.0,2026-03-21 13:33:18.447979,1000.0,3.0
44690,CHEMBL677833,CHEMBL203,CHEMBL133024,IC50,100.0,nM,=,7.0,2026-03-21 13:33:18.447979,100.0,2.0
44695,CHEMBL677833,CHEMBL203,CHEMBL344652,IC50,13350.0,nM,=,4.88,2026-03-21 13:33:18.447979,13350.0,4.125481265700594
44885,CHEMBL674643,CHEMBL203,CHEMBL77814,IC50,350000.0,nM,=,,2026-03-21 13:33:18.447979,350000.0,5.544068044350276
44886,CHEMBL674643,CHEMBL203,CHEMBL47986,IC50,14000.0,nM,=,4.85,2026-03-21 13:33:18.447979,14000.0,4.146128035678238
45867,CHEMBL677833,CHEMBL203,CHEMBL138125,IC50,238.0,nM,=,6.62,2026-03-21 13:33:18.447979,238.0,2.376576957056512
45872,CHEMBL677833,CHEMBL203,CHEMBL137364,IC50,64.0,nM,=,7.19,2026-03-21 13:33:18.447979,64.0,1.806179973983887
45958,CHEMBL674643,CHEMBL203,CHEMBL308339,IC50,1400000.0,nM,=,,2026-03-21 13:33:18.447979,1400000.0,6.146128035678238
45961,CHEMBL674643,CHEMBL203,CHEMBL78174,IC50,430000.0,nM,=,,2026-03-21 13:33:18.447979,430000.0,5.633468455579586
46694,CHEMBL674637,CHEMBL203,CHEMBL302552,IC50,22.0,nM,=,7.66,2026-03-21 13:33:18.447979,22.0,1.3424226808222062
47278,CHEMBL674643,CHEMBL203,CHEMBL309598,IC50,13500.0,nM,=,4.87,2026-03-21 13:33:18.447979,13500.0,4.1303337684950066
47286,CHEMBL674643,CHEMBL203,CHEMBL78302,IC50,250000.0,nM,>,,2026-03-21 13:33:18.447979,250000.0,5.3979400086720375
47933,CHEMBL674637,CHEMBL203,CHEMBL67057,IC50,4.5,nM,=,8.35,2026-03-21 13:33:18.447979,4.5,0.6532125137753437
47936,CHEMBL621151,CHEMBL203,CHEMBL67057,IC50,100.0,nM,=,7.0,2026-03-21 13:33:18.447979,100.0,2.0
48459,CHEMBL677833,CHEMBL203,CHEMBL332096,IC50,508.0,nM,=,6.29,2026-03-21 13:33:18.447979,508.0,2.7058637122839193
48552,CHEMBL674643,CHEMBL203,CHEMBL77387,IC50,450000.0,nM,=,,2026-03-21 13:33:18.447979,450000.0,5.653212513775344
49320,CHEMBL674637,CHEMBL203,CHEMBL432903,IC50,200.0,nM,=,6.7,2026-03-21 13:33:18.447979,200.0,2.3010299956639813
49323,CHEMBL674637,CHEMBL203,CHEMBL69964,IC50,210.0,nM,=,6.68,2026-03-21 13:33:18.447979,210.0,2.322219294733919
49326,CHEMBL674637,CHEMBL203,CHEMBL65848,IC50,1410.0,nM,=,5.85,2026-03-21 13:33:18.447979,1410.0,3.1492191126553797
49329,CHEMBL621151,CHEMBL203,CHEMBL65848,IC50,5000.0,nM,=,5.3,2026-03-21 13:33:18.447979,5000.0,3.6989700043360187
49331,CHEMBL615325,CHEMBL203,CHEMBL65848,IC50,4320.0,nM,=,5.37,2026-03-21 13:33:18.447979,4320.0,3.635483746814912
49986,CHEMBL674643,CHEMBL203,CHEMBL78184,IC50,833000.0,nM,=,,2026-03-21 13:33:18.447979,833000.0,5.920645001406788
49988,CHEMBL674643,CHEMBL203,CHEMBL76985,IC50,47000.0,nM,=,4.33,2026-03-21 13:33:18.447979,47000.0,4.672097857935717
49992,CHEMBL674643,CHEMBL203,CHEMBL145,IC50,1200000.0,nM,=,,2026-03-21 13:33:18.447979,1200000.0,6.079181246047625
50668,CHEMBL674637,CHEMBL203,CHEMBL69629,IC50,6.5,nM,=,8.19,2026-03-21 13:33:18.447979,6.5,0.8129133566428556
50671,CHEMBL621151,CHEMBL203,CHEMBL69629,IC50,40.0,nM,=,7.4,2026-03-21 13:33:18.447979,40.0,1.6020599913279623
50673,CHEMBL615325,CHEMBL203,CHEMBL69629,IC50,2050.0,nM,=,5.69,2026-03-21 13:33:18.447979,2050.0,3.311753861055754
51141,CHEMBL677833,CHEMBL203,CHEMBL136492,IC50,8400.0,nM,=,5.08,2026-03-21 13:33:18.447979,8400.0,3.9242792860618816
51244,CHEMBL674643,CHEMBL203,CHEMBL77197,IC50,1100000.0,nM,=,,2026-03-21 13:33:18.447979,1100000.0,6.041392685158225
51249,CHEMBL674643,CHEMBL203,CHEMBL305695,IC50,560000.0,nM,=,,2026-03-21 13:33:18.447979,560000.0,5.748188027006201
51818,CHEMBL674637,CHEMBL203,CHEMBL68258,IC50,20000.0,nM,>,,2026-03-21 13:33:18.447979,20000.0,4.301029995663981
52474,CHEMBL674643,CHEMBL203,CHEMBL76587,IC50,6500000.0,nM,=,,2026-03-21 13:33:18.447979,6500000.0,6.812913356642856
52480,CHEMBL674643,CHEMBL203,CHEMBL77456,IC50,1250000.0,nM,>,,2026-03-21 13:33:18.447979,1250000.0,6.096910013008056
