MolWt,LogP,NumHDonors,NumHAcceptors,NumRotatableBonds,NumAromaticRings,TPSA,FractionCSP3,molecule_chembl_id,ic50_nM,log_ic50
233.22299999999998,1.78248,2,4,3,1,90.55,0.16666666666666666,CHEMBL77197,1100000.0,6.041392685158225
170.171,1.82276,1,3,1,1,67.81,0.0,CHEMBL305695,560000.0,5.748188027006201
422.48900000000026,2.0685199999999995,2,6,3,2,103.44999999999999,0.45454545454545453,CHEMBL68258,20000.0,4.301029995663981
172.187,1.5980599999999998,1,3,2,1,67.81,0.2,CHEMBL76587,6500000.0,6.812913356642856
184.19799999999998,2.1257600000000005,0,3,2,1,56.809999999999995,0.09090909090909091,CHEMBL77456,1250000.0,6.096910013008056
509.97300000000024,3.919620000000001,3,6,5,3,106.25,0.28,CHEMBL66570,13.0,1.1139433523068367
509.97300000000024,3.919620000000001,3,6,5,3,106.25,0.28,CHEMBL66570,200.0,2.3010299956639813
509.97300000000024,3.919620000000001,3,6,5,3,106.25,0.28,CHEMBL66570,7500.0,3.8750612633917
188.18599999999998,0.7844799999999998,2,3,2,1,87.10999999999999,0.0,CHEMBL308048,800000.0,5.903089986991944
182.182,1.9296599999999997,0,3,2,1,64.65,0.0,CHEMBL311119,60000.0,4.778151250383644
186.17,1.52836,2,4,1,1,88.04,0.0,CHEMBL76905,37000.0,4.568201724066995
203.19699999999997,1.68678,1,3,3,1,70.32,0.09090909090909091,CHEMBL77524,833000.0,5.920645001406788
413.7960000000001,3.8401200000000006,4,5,4,3,120.0,0.05263157894736842,CHEMBL305194,29.0,1.462397997898956
413.7960000000001,3.8401200000000006,4,5,4,3,120.0,0.05263157894736842,CHEMBL305194,5000.0,3.6989700043360187
413.7960000000001,3.8401200000000006,4,5,4,3,120.0,0.05263157894736842,CHEMBL305194,50000.0,4.698970004336019
219.196,1.39238,2,4,3,1,90.55,0.09090909090909091,CHEMBL307250,325000.0,5.511883360978874
216.196,1.53696,2,5,2,1,97.27,0.09090909090909091,CHEMBL80155,6000.0,3.7781512503836434
270.72300000000007,3.609000000000001,2,4,2,3,63.83,0.0,CHEMBL343352,200.0,2.3010299956639813
315.17400000000004,3.7181000000000015,2,4,2,3,63.83,0.0,CHEMBL52765,44.0,1.6434526764861874
200.197,2.0114600000000005,1,4,2,1,77.03999999999999,0.09090909090909091,CHEMBL311564,450000.0,5.653212513775344
205.16899999999998,1.0893799999999998,3,4,2,1,101.55,0.0,CHEMBL76642,75000.0,4.8750612633917
441.8500000000001,4.1591200000000015,4,5,6,3,120.0,0.14285714285714285,CHEMBL308645,4.7,0.6720978579357175
560.6180000000002,4.219820000000002,3,7,6,5,130.06,0.1935483870967742,CHEMBL67003,1.8,0.25527250510330607
560.6180000000002,4.219820000000002,3,7,6,5,130.06,0.1935483870967742,CHEMBL67003,100.0,2.0
269.25999999999993,1.9204599999999998,2,4,5,1,113.98,0.14285714285714285,CHEMBL307248,640000.0,5.8061799739838875
186.174,1.20726,2,5,2,1,92.2,0.0,CHEMBL310958,225000.0,5.352182518111363
198.18099999999995,1.84586,0,4,1,1,66.04,0.09090909090909091,CHEMBL78005,350000.0,5.544068044350276
371.242,4.696200000000003,1,5,4,3,65.77,0.125,CHEMBL134312,11.0,1.0413926851582251
